frame,keypoint_id,x,y,px,py,visibility
24,7,0.31176335,0.37910137,224,485,0.7582625150680542
24,8,0.30580682,0.383748,220,491,0.992999792098999
24,9,0.3525327,0.39198038,253,501,0.7454546093940735
24,10,0.35372773,0.39602798,254,506,0.9786958694458008
24,11,0.25406092,0.41546732,182,531,0.9904552102088928
24,12,0.235904,0.4163475,169,532,0.997159481048584
24,13,0.31625178,0.45964375,227,588,0.9628076553344727
24,14,0.26502216,0.4615314,190,590,0.9905158281326294
24,15,0.29665437,0.50692475,213,648,0.9115700125694275
24,16,0.20188221,0.5121947,145,655,0.9674587249755859
25,0,0.3338153,0.32258886,240,412,0.9097110033035278
25,1,0.3364372,0.3175649,242,406,0.5371211171150208
25,2,0.3239441,0.31847137,233,407,0.9191771149635315
25,3,0.3268594,0.31989306,235,409,0.2527531385421753
25,4,0.29852372,0.3229942,214,413,0.9228755235671997
25,5,0.30435163,0.34801978,219,445,0.9657053351402283
25,6,0.28222296,0.34938556,203,447,0.996482253074646
25,7,0.29851085,0.38680997,214,495,0.8333972096443176
25,8,0.29783633,0.38791484,214,496,0.9924280047416687
25,9,0.3363557,0.40032536,242,512,0.7968109846115112
25,10,0.34168905,0.39859515,246,510,0.9791531562805176
25,11,0.26213068,0.41393375,188,529,0.9930277466773987
25,12,0.23984769,0.41549787,172,531,0.9976857900619507
25,13,0.31813222,0.4652582,229,595,0.9827232360839844
25,14,0.27220795,0.47016054,195,601,0.9948529601097107
25,15,0.2792041,0.50574523,201,647,0.9517404437065125
25,16,0.2085885,0.5161955,150,660,0.9772915244102478
26,0,0.33725837,0.32419342,242,414,0.9477038383483887
26,1,0.33930448,0.3185529,244,407,0.6854081749916077
26,2,0.3260723,0.31961715,234,409,0.9487621784210205
26,3,0.33023876,0.31960616,237,409,0.3265630900859833
26,4,0.30171955,0.32395074,217,414,0.9331443905830383
26,5,0.31203923,0.35110146,224,449,0.9729399085044861
26,6,0.28282067,0.35086188,203,449,0.997441291809082
26,7,0.2978522,0.39079183,214,500,0.8545913696289062
26,8,0.28163606,0.38835698,202,497,0.9934440851211548
26,9,0.3328486,0.40126714,239,513,0.8313805460929871
26,10,0.32852504,0.40234366,236,514,0.9824134111404419
26,11,0.2665217,0.41572863,191,532,0.9929924011230469
26,12,0.24341193,0.41591907,175,532,0.9977363348007202
26,13,0.31018075,0.46951646,223,600,0.985149621963501
26,14,0.27947327,0.4696434,201,601,0.9955173134803772
26,15,0.26694462,0.50949633,192,652,0.9641559720039368
26,16,0.21460931,0.5128556,154,656,0.9830769300460815
27,0,0.34518242,0.32597846,248,417,0.9565281271934509
27,1,0.34771094,0.3215088,250,411,0.5715736150741577
27,2,0.33664453,0.32092506,242,410,0.9738782048225403
27,3,0.33288974,0.3259202,239,417,0.09147162735462189
27,4,0.30990532,0.3240443,223,414,0.97939133644104
27,5,0.30231795,0.35162178,217,450,0.9815477132797241
27,6,0.2838303,0.350104,204,448,0.9984596967697144
27,7,0.30101,0.38630503,216,494,0.7518700361251831
27,8,0.27522618,0.38815624,198,496,0.9950401186943054
27,9,0.3276613,0.40100032,235,513,0.7591332793235779
27,10,0.31652275,0.405783,227,519,0.9853331446647644
27,11,0.2550575,0.41552144,183,531,0.9899208545684814
27,12,0.23721227,0.41576323,170,532,0.9973751306533813
27,13,0.30822322,0.4681066,221,599,0.9628089666366577
27,14,0.28099677,0.4695037,202,600,0.99137282371521
27,15,0.2603843,0.512395,187,655,0.8981961607933044
27,16,0.21011108,0.516955,151,661,0.9648614525794983
28,0,0.34723556,0.3272621,250,418,0.9424589276313782
28,1,0.34979388,0.32288536,251,413,0.519207239151001
28,2,0.3386899,0.32220054,243,412,0.9643881916999817
28,3,0.33615035,0.32725036,242,418,0.08302942663431168
28,4,0.31155953,0.32501423,224,416,0.9720449447631836
